id,name,org
277,Benjamin Lee,Guardian
278,Edmund Lee,Screen International
279,Maggie Lee,Hollywood Reporter
280,Sebastian Zavala Kahn,ScreenAnarchy
281,Mark R. Leeper,rec.arts.movies.reviews
282,Chloe Leeson,Screen Queens
283,Andy Lea,Daily Express (UK)
284,Richard Lawson,Vanity Fair
285,Elena Lazic,Guardian
286,Nguyen Le,Film Threat
287,Manuela Lazic,indieWire
288,Michael Leader,Sight and Sound
289,Michael A. Smith,Moviehole
290,Michael Smith,Tulsa World
291,Kyle Smith,New York Post
292,Anna Smith,BBC.com
293,Derek Smith,Apollo Guide
294,Janet Smith,Georgia Straight
295,Christopher Lawrence,Las Vegas Review-Journal
296,Edward Lawrenson,Sight and Sound
297,Neil Smith,BBC.com
298,Jim Slotek,Jam! Movies
299,Shane Slater,AwardsCircuit.com
300,Joyce Slaton,Common Sense Media
301,Josh Slater-Williams,Sight and Sound
302,Courtney Small,In The Seats
303,Matt Singer,Village Voice
304,Dustin Putman,TheFilmFile.com
305,Andrew Pulver,Guardian
306,David Sims,The Atlantic
307,Dom Sinacola,Paste Magazine
308,Leigh Singer,Rotten Tomatoes
309,Claudia Puig,USA Today
310,Kristy Puchko,Guardian
311,Louis Proyect,rec.arts.movies.reviews
312,Ray Pride,Newcity
313,Matt Prigge,Philadelphia Weekly
314,James Lattimer,Sight and Sound
315,Ed Potton,Times (UK)
316,Pamela Powell,FF2 Media
317,John Powers,L.A. Weekly
318,Josh Larsen,"Sun Publications (Chicago, IL)"
319,Joanna Langfield,The Movie Minute
320,Anthony Lane,Independent (UK)
321,Jim Lane,Sacramento News & Review
322,Ned Lannamann,"The Stranger (Seattle, WA)"
323,Andrew Lapin,New York Magazine/Vulture
324,Mick LaSalle,Houston Chronicle
325,Kevin Lally,Film Journal International
326,Radheyan Simonpillai,NOW Toronto
327,Emma Simmonds,Time Out
328,Alissa Simon,Variety
329,Amie Simon,Three Imaginary Girls
330,Kevin N. Laforest,Montreal Film Journal
331,Jeff Simon,Buffalo News
332,Tomris Laffly,Film Journal International
333,Li Lai,Mediaversity Reviews
334,Molly Laich,Missoula Independent
335,Stephen Silver,American Dreamer
336,Tom Shone,Newsweek
337,Betsy Sherman,Boston Globe
338,Allison Shoemaker,AV Club
339,Kaori Shoji,IGN Movies
340,Wendy Shreve,Featuring Film
